date,cash,positions_value,total_value,return_pct,num_positions
2026-08-13 17:35,2000.0,8000.0,10000.0,0.0,8
2026-08-13 20:04,1992.72,8034.97,10027.7,0.28,8
2026-08-14 00:11,992.72,9034.97,10027.7,0.28,9
2026-08-14 06:58,992.72,9034.97,10027.7,0.28,9
2026-08-14 11:12,992.72,9034.97,10027.7,0.28,9
2026-08-14 18:37,6001.72,4012.59,10014.31,0.14,4
2026-08-14 21:03,1001.72,9013.48,10015.19,0.15,9
2026-08-14 22:56,1001.72,9013.48,10015.19,0.15,9
2026-08-15 03:06,1001.72,9013.48,10015.19,0.15,9
2026-08-15 05:02,1001.72,9013.48,10015.19,0.15,9
2026-08-15 07:44,1001.72,9013.48,10015.19,0.15,9
2026-08-15 09:03,2004.24,8010.95,10015.19,0.15,8
2026-08-15 10:53,2004.24,8010.95,10015.19,0.15,8
2026-08-15 13:43,1004.24,9010.95,10015.19,0.15,9
2026-08-15 14:54,1004.24,9010.95,10015.19,0.15,9
2026-08-15 16:56,1004.24,9010.95,10015.19,0.15,9
2026-08-15 19:02,1004.24,9010.95,10015.19,0.15,9
2026-08-15 20:54,1004.24,9010.95,10015.19,0.15,9
2026-08-15 22:53,1004.24,9010.95,10015.19,0.15,9
