date,symbol,signal,price,average_5day
2026-08-12 18:00,AAPL,STRONG SELL,301.61,308.0
2026-08-12 18:00,GOOGL,STRONG SELL,341.28,350.93
2026-08-12 18:01,NVDA,STRONG BUY,223.56,220.31
